classifier,gene,n_folds_present,mean_importance_abs,ci95_low,ci95_high,mean_importance_signed,is_pam50
RF,ERV3-1,50,0.0038232007913256687,0.00378076798799039,0.0038676725454564573,-1.4764914006664945e-18,False
RF,ERVMER34-1,50,0.0028929609696307966,0.002842156753505734,0.0029429516378639787,-8.961821683995462e-20,False
RF,ESCO2,50,0.004436109357201243,0.004376347607699815,0.004497170391778539,-2.3397653236224717e-18,False
RF,ESM1,50,0.003857634426765074,0.003811266092278743,0.0039024461781523656,-1.1298368733089457e-18,False
RF,ESPL1,50,0.00479400619912575,0.004747141486263488,0.004843998233381389,-2.425171682539343e-18,False
RF,ESPN,50,0.0037316371831251915,0.003681426226344877,0.003780339926453808,-1.7057752573808237e-18,False
RF,ESR1,50,0.004264473073144858,0.004226064943698249,0.004305316454308944,-1.777844153600533e-18,True
RF,ESRRG,50,0.003789827745190115,0.003735158320406187,0.003840941430706981,1.4566046666567832e-19,False
RF,ETNK2,50,0.004469650060047493,0.0044165739374521455,0.004524850453457089,-2.961704750510309e-18,False
RF,ETS1,50,0.0026554953340179248,0.0025933134576039563,0.0027225587646741356,-1.7709010771582473e-19,False
RF,ETV1,49,0.0043421529244345326,0.004288002846849638,0.004398673405990524,-1.855117306702274e-18,False
RF,ETV4,50,0.004065158891513263,0.00402824731608232,0.004104078803993828,5.544209889320376e-19,False
RF,ETV5,7,0.0031368798836773773,0.0030145806491079685,0.0032855174970391945,-3.587809185978764e-19,False
RF,ETV7,50,0.004226237929961021,0.004169374932712062,0.0042816049169781805,-7.472898789688913e-19,False
RF,EVA1A,46,0.003320706570455045,0.003264629771963255,0.003378131599212003,-7.164802413742657e-19,False
RF,EVA1C,50,0.003773102406119591,0.003718234429192374,0.0038315732413632445,3.6071778809560447e-19,False
RF,EVA1CP5,50,0.0032012811104717453,0.003152185624065608,0.003253447639160464,1.0349672341918007e-18,False
RF,EVC,50,0.003970647336011508,0.003929543134564209,0.00401065843787812,-2.9409769042518316e-18,False
RF,EVI2A,49,0.0031394869019106338,0.0030692100078592395,0.003210042246862685,-1.3099332318250839e-18,False
RF,EVI2B,50,0.0027168601747890476,0.0026651465246383195,0.002771853684637506,-1.020440309023732e-18,False
RF,EVL,50,0.004531900707981739,0.004480669068837846,0.004580120516419511,-1.1056521537592408e-18,False
RF,EVPL,29,0.003598469546843523,0.0035237003076032214,0.003672755586859993,-1.8857711026382505e-18,False
RF,EWSAT1,50,0.004302555305735391,0.004239838189489863,0.00435924260330749,-7.114330629786176e-20,False
RF,EXO1,50,0.005066446993815249,0.005016014890877117,0.005115724344029998,-1.5580924865474687e-18,True
RF,EXOC6,50,0.004384531077622553,0.004343640031257363,0.004424596299369132,-2.743593655171293e-18,False
RF,EXTL1,50,0.003148582420647292,0.0031021288582858287,0.0031963500412338576,-4.460405787513599e-20,False
RF,EYA2,50,0.003128254095500607,0.003075614044186768,0.0031794311164478604,-8.183701005445538e-19,False
RF,EZH2,50,0.004512371649410279,0.004468378980906105,0.004555219805477978,-1.2725035571827873e-18,False
RF,F12,50,0.0034319507262410313,0.0033580043933948743,0.0035022528091357267,-9.058989733666197e-19,False
RF,F13A1,50,0.00434412476775458,0.004295924280394955,0.004395628113309998,-2.8047767259101556e-18,False
RF,F2R,50,0.003758040967076307,0.003713965199193333,0.003799692383566127,-2.0122550606439433e-18,False
RF,F2RL1,50,0.003762234541905019,0.003710849679726356,0.0038157283529142356,-1.6684458013237842e-18,False
RF,F2RL2,50,0.003887931927101982,0.0038248677554370966,0.003945996987511417,-1.1031172510542169e-18,False
RF,F2RL3,9,0.0031568899179596614,0.002998983380275471,0.0033090717168517336,-3.799879483868897e-19,False
RF,F3,50,0.004001637407206161,0.003962385308601984,0.004043054465328019,4.2159229704058365e-20,False
RF,F7,50,0.004189751357005267,0.004145131959886038,0.004233072112219031,-2.2072041118077206e-18,False
RF,FA2H,50,0.0038930297648834974,0.003839214602263474,0.003947416087009882,-1.4262788556903885e-18,False
RF,FAAH,50,0.004009780370520987,0.003963580542463695,0.004053977405046991,-1.3578460853546316e-18,False
RF,FABP3,41,0.0028413328342639147,0.0027962330832252374,0.0028885813106688187,-1.651237277413809e-18,False
RF,FABP4,50,0.004565679360731421,0.004506948615940943,0.0046184502019391924,3.0594431738202295e-20,False
RF,FABP5,50,0.004029007507332002,0.003984529262642248,0.004072263173393654,6.058861022543159e-19,False
RF,FABP7,13,0.004144176169313719,0.004047024564489323,0.004232208130298899,1.765278973062688e-18,False
RF,FADS1,50,0.0038865972066844416,0.0038433943820524257,0.003929459477514893,-1.9294672042208816e-18,False
RF,FADS2,50,0.0039273681973126815,0.0038818302833494136,0.003970060286289903,-1.2047125594425049e-18,False
RF,FAH,50,0.004384029757619022,0.004337716532658302,0.0044292224757010775,-2.696114996833186e-18,False
RF,FAIM2,50,0.003771042414381639,0.0037198167793070225,0.0038226287723977866,-8.745915700027543e-19,False
RF,FAM107A,50,0.004152412448796446,0.004081948225803986,0.004225030271003536,2.0706875431311137e-18,False
RF,FAM110B,50,0.0037414250874851468,0.0036992830936602157,0.003784319726587014,-1.4834009743089206e-18,False
RF,FAM110C,50,0.0039424661564658086,0.003912775908570043,0.003973623760775851,-2.166730109089948e-18,False
RF,FAM111B,50,0.004839803706807128,0.0047921227951420176,0.004887994455467554,-1.9610817442115632e-18,False
RF,FAM161B,50,0.00407813222059599,0.004035186294220232,0.004121736908558395,-1.4529933527658277e-18,False
RF,FAM167A,50,0.00305971338432402,0.00302533320470669,0.003093668206767789,-1.2983147725786688e-18,False
RF,FAM169A,50,0.0038623618916457146,0.00382288158487634,0.0039053383932953615,-1.5571361017638704e-18,False
RF,FAM171A1,50,0.004324750612530828,0.004256283019760463,0.004397170250154415,2.0585408246351602e-18,False
RF,FAM171A2,48,0.0041970509012494,0.004144687034494355,0.004249707057650433,-6.808277820913457e-19,False
RF,FAM171B,50,0.003950659203190132,0.0039022109907707104,0.004000084587367458,3.064882447734126e-19,False
RF,FAM174B,15,0.004136844266688988,0.004075768435785987,0.004193903431318297,-2.090235137183878e-18,False
RF,FAM178B,7,0.0031641346142383775,0.0031004569578177922,0.00322470960479882,-7.30950454892297e-19,False
RF,FAM180A,50,0.0038835353176182143,0.003811803547242438,0.003951678820305993,-1.2784703208190304e-18,False
RF,FAM201A,50,0.0037094784199264595,0.003662772513779193,0.003753854067952451,-2.0499358936519756e-21,False
RF,FAM20A,50,0.003077639980518871,0.0030092228792216623,0.00314668232153408,-8.811621426751155e-19,False
RF,FAM20C,47,0.003181536556160327,0.0031232149760302133,0.0032456927549471626,-5.841179678378131e-19,False
RF,FAM222A,50,0.003594870331213244,0.0035477289236183754,0.0036400252636317352,-6.6982612926350945e-19,False
RF,FAM234B,50,0.003998551390989697,0.00394554716680004,0.004052038132506537,-1.653035943896305e-18,False
RF,FAM240C,6,0.003427403002902805,0.003331751044533247,0.003510081582850565,-6.407981053758285e-19,False
RF,FAM241A,50,0.003973747136911154,0.003934716118155619,0.004012791446226779,-1.5867406795433375e-18,False
RF,FAM3B,50,0.002912560392568701,0.0028526796237529953,0.0029772462431825334,-5.408980334445694e-19,False
RF,FAM86B3P,3,0.004735540821221373,0.004682132997437051,0.004770864611846839,-1.1711157697461771e-18,False
RF,FAM86FP,34,0.003673759546522857,0.0036061917098556863,0.003739043413324885,-5.926526859394285e-19,False
RF,FAM86HP,4,0.003816397955220067,0.003590724498862655,0.004089558008849794,-9.072856377756477e-19,False
RF,FAM89A,50,0.0037890804458750277,0.003736112931202514,0.0038422284524566503,1.148275858784798e-18,False
RF,FAM90A1,50,0.0033635576138609635,0.003309274290666258,0.0034185195686693,6.166503364297685e-19,False
RF,FANCA,26,0.004346110719464632,0.004291287080508734,0.004408480998656699,-1.69780198008131e-18,False
RF,FANCI,22,0.004072525392393774,0.0039904066365718475,0.004156081742773783,-2.1474146068756732e-18,False
RF,FANK1,50,0.0043856378661815566,0.004327594369636815,0.004444391053514143,-1.4581082831613586e-18,False
RF,FAP,50,0.004695394281180789,0.0046291839553648075,0.004760732538911196,-3.568077066029518e-18,False
RF,FAR1,5,0.004204548968979794,0.004177916510083499,0.004230865838578329,-3.078223469340109e-18,False
RF,FAR2,50,0.0035426593470025687,0.0034955245417029285,0.0035914712610723085,-2.32055359169126e-18,False
RF,FAR2P1,1,0.0027181582851800207,0.0027181582851800207,0.0027181582851800207,-2.390860170436434e-18,False
RF,FARP1,30,0.00425295168437315,0.004196656717160892,0.00430826078086923,-1.4845571452388628e-18,False
RF,FARS2-AS1,50,0.003962514050859878,0.0039021781636640143,0.004021809969693888,-1.1937395241963226e-20,False
RF,FAS,50,0.002537999477436338,0.0024737200486432084,0.0026015175394194455,-1.0634250413099994e-18,False
RF,FASLG,50,0.0030746444954626423,0.003027714603308193,0.0031246685095707746,-2.184773800809911e-19,False
RF,FASN,50,0.004383874779835512,0.00434024055381012,0.004431093605396464,-2.537396522182038e-18,False
RF,FAT1,50,0.002509324716456634,0.002446976644740205,0.002570641292971045,-1.0633304139251307e-18,False
RF,FAT2,50,0.004209892534163235,0.004139751949843963,0.004289078892279274,1.1497388462018238e-18,False
